"FirstAuthor","YearOfPublication","StudyName","StudyDesign","StudyDesignGroup","Exposure","SpecificExposure","IfExposureIsCategoricalReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureCutoff","ExposureGroup","ToReverseReferenceGroup","CodeLargerComparisonGroup","LargerComparisonGroup","Outcome","SpecificOutcome","OutcomeSubgroup","OutcomeGroup","SpecficOutcomeGroup","AgeAtOutcomeGroup","AgeAtOutcome","DiseaseRisk","DiseaseRiskGroup","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotentialConflictOfInterest","RiskOfBiasDueToPotentialConflictOfInterestGroup","NumberExposedInCases","NoNonExposedInCases","NumberExposedInControls","NumberNonExposedInControls","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Cl(Lower)","95%Cl(Upper)","Pvalue","OtherInformationUnadjustedAnalysis","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","Adj95%Cl(Lower)","Adj95%Cl(Upper)","AdjPValue","OtherInformationAdjustedAnalysis","same as column z . AR CAN BE REMOVED","FinalEffect","UnadjInOr(RawNumbersOrUnadjOrRrHr)","Unadjse(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOrOriginal","AdjSe(InOr)","FinalInOrOriginal","FinalSe(InOr)","UnadjInOr","AdjInOr","FinalInOr"
"Taylor (BCS58)","1984","British Cohort Study (BCS58)","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">1","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","5to14","7","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","","","","","<.001","","Low","OR","0.44","0.08","","","0.44","0.08","0.44","","0.44"
"Flohr","2011","ISAAC Phase 2","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","Eczema Ever","","atopic","AD","5to14","12","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","","","","","","OR","1.1","1","1.22","","","Low","OR","","","0.1","0.05","0.1","0.05","","0.1","0.1"
"Purvis","2005","Auckland Birthweight Collaborative study","prospective cohort","prospective","Total duration of breastfeeding","TBF","0","? 6","0","0","2","long",">=6","AD","AD.12mo","","atopic","AD","0to4","3.5","normal","low/normal","High","Other","Low","Low","","","","","OR","9.95","2.66","37.14","","","OR","9.93","2.18","45.36","","","Low","OR","2.3","0.67","2.3","0.78","2.3","0.78","2.3","2.3","2.3"
"Pratt","1984","Pratt","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","","","atopic","AD","0to4","4.5","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.11","0.3","","","-0.11","0.3","-0.11","","-0.11"
"Hide","1981","The Isle of Wight study","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","0to4","1","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.13","0.27","","","-0.13","0.27","-0.13","","-0.13"
"Wang","2007","Tiawan Nationation Birth Cohort Study","prospective cohort","prospective","Total BF duration","TBF","No BF","BF","0","0","2",">0",">0","AD","","","atopic","AD","0to4","0.5","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.17","0.28","","","0.17","0.28","0.17","","0.17"
"Tanaka","2009","Fukuoka Child Health Study","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","<6","?6","6","5to7","2",">=6",">=6","AD","","","atopic","AD","0to4","3","normal","low/normal","High","Other","Low","Low","","","","","OR","0.95","0.71","1.27","","","OR","0.95","0.71","1.3","","","Low","OR","-0.05","0.15","-0.05","0.16","-0.05","0.16","-0.05","-0.05","-0.05"
"Miyake","2009","Osaka Maternal and Child Health Study (OMCHS)","prospective cohort","prospective","Total duration of breastfeeding","TBF","< 6",">=6","6","5to7","2",">=6",">=6","AD","Ever AD","","atopic","AD","0to4","2","normal","low/normal","High","Other","Low","Low","","","","","OR","1.35","0.88","2.14","","","OR","1.39","0.88","2.26","","","Low","OR","0.3","0.24","0.33","0.25","0.33","0.25","0.3","0.33","0.33"
"Hide","1981","The Isle of Wight Prevention study","prospective cohort","prospective","Total duration of breastfeeding","TBF","<6","6","6","5to7","2",">=6",">=6","AD","Ever AD","","atopic","AD","0to4","1","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.13","0.27","","","-0.13","0.27","-0.13","","-0.13"
"Haileamlak","2005","Haileamlak  A.","case control","retrospective","Total BF duration","TBF","?12",">24","12","8to12","2","long",">=12","AD","AD","","atopic","AD","0to4","5","normal","low/normal","High","Other","Low","Low","","","","","","","","","","","OR","0.76","0.49","1.18","","","Low","OR","","","-0.27","0.22","-0.27","0.22","","-0.27","-0.27"
"Burr","1989","Burr","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","0to4","1","high","high","Low","Low","Low","Low","","","","","","","","","ns","","","","","","","","Low","OR","-0.2","0.19","","","-0.2","0.19","-0.2","","-0.2"
"Moore","1985","Moore","prospective cohort (of RCT)","prospective","EVER BF","TBF","NEVER","EVER","0","0","2",">0",">0","AD","eczema at 3 months","","atopic","AD","0to4","0.25","high","high","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.27","0.4","","","-0.27","0.4","-0.27","","-0.27"
"Harris","2001","Harris","prospective cohort","prospective","Ever breastfed","TBF","never ","ever","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.97","0.64","1.47","0.89","","Low","OR","0.13","0.18","-0.03","0.21","-0.03","0.21","0.13","-0.03","-0.03"
"Snijders","2008","KOALA","prospective cohort","prospective","total duration of BF","TBF","0",">9","0","0","2","long",">=9","AD","parent questionnaire","","atopic","AD","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","1","0.74","1.35","","","OR","0.66","0.4","1.09","","","Low","OR","0","0.15","-0.42","0.26","-0.42","0.26","0","-0.42","-0.42"
"Chuang","2011","TaiwanBirth Cohort Study","prospective cohort","prospective","Total duration of breastfeeding","TBF","0","<=12","0","0","2","long","<=12","AD","","","atopic","AD","0to4","1.5","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.65","1.28","2.13","","","OR","1.44","1.11","1.87","0.006","Considering the effect of maternal education on breastfeedingpractice and AD reported  we analyzed odds ratio ofAD beyond 6 months by maternal educational level inTable 4. After adjustment for potential confounders  prolongingbreastfeeding did not show the protective effect on ADamong 18 months children  even significantly increased therisk of AD in children whose mothers had high educationallevel.","Low","OR","0.5","0.13","0.36","0.13","0.36","0.13","0.5","0.36","0.36"
"Abd","2012","ALSPAC","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","0to4","3.5","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","1.43","1.26","1.61","","","","","","","","and there was evidence of increased eczema risk with increasing breastfeeding duration. This association persisted on adjustment for potential confound-ers including parental education and history of atopy  and on exclusion of children with symptoms of rash in the fi rst six months.","Low","OR","0.36","0.06","","","0.36","0.06","0.36","","0.36"
"Hikino","2001","Hikino  Fukoka City","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","AD.12mo","","atopic","AD","0to4","1.5","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.4","0.12","","","0.4","0.12","0.4","","0.4"
"Morales","2012","INMA PROJECT","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">6","0","0","2","long",">=6","AD","Ever AD","","atopic","AD","0to4","1","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","0.64","0.29","1.43","","","OR","0.64","0.28","1.44","","","Low","OR","-0.45","0.41","-0.45","0.41","-0.45","0.41","-0.45","-0.45","-0.45"
"Sariachvili","2007","Prospective study on theInfluence of Perinatal factors on the Occurrenceof asthma and allergies (PIPO )","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","0to4","1","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","1.3","0.9","1.8","0.22","","","","","","","","Low","OR","0.26","0.17","","","0.26","0.17","0.26","","0.26"
"Kull","2002","BAMSE","prospective cohort","prospective","Total duration of breastfeeding","TBF","< 6",">= 6","6","5to7","2",">=6",">=6","AD","Ever AD","","atopic","AD","0to4","2","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.88","0.72","1.05","","","Low","OR","-0.1","0.1","-0.13","0.09","-0.13","0.09","-0.1","-0.13","-0.13"
"Nakamura","1999","Nakamura  Y.","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","history of atopic dermatitis","","atopic","AD","0to4","3","normal","low/normal","Unclear","Other","Low","Low","243","152","844","694","OR","1.17","0.97","1.4","","","OR","1.16","0.96","1.4","","","Low","OR","0.16","0.09","0.15","0.1","0.15","0.1","0.16","0.15","0.15"
"Karino","2008","Karino  University of Tokyo","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","?3",">3","3","3to4","2",">=3",">=3","AD","","","atopic","AD","ge15","18","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","1.3","","","0.001","FOR AD: Nutrition in infancy caused no significant. difference between the groups in each of the 2 classifications.As for the duration of breastfeeding  longer durations weresignificant correlates of increased odds for AD. However ORs showed that the effect was very weak. The OR for theduration of more than 24 weeks in duration 1 was 1.3 (P  .03). The OR in duration 2  duration 3  and duration 4 was 1.2(P   .03)  1.3 (P   .001)  and 1.2 (P   .007)  respectively.","OR","1.2","1","1.4","","Besides the 5 significant variables  duration 3 was used as apotential explanatory variable for logistic regression analysiswith multiple variables (Table 4).","Low","OR","","","0.18","0.08","0.18","0.08","","0.18","0.18"
"Miyake","2003","Miyake  Osaka City","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","0",">=3","0","0","2","medium",">=3","AD","Atopic eczema","","atopic","AD","ge15","15","normal","low/normal","High","Other","Low","Low","","","","","OR","1.45","1.05","2.05","","","OR","1.4","1.01","1.98","","","Low","OR","0.37","0.18","0.34","0.18","0.34","0.18","0.37","0.34","0.34"
"Kurt","2010","Prevalence and Risk Factors of Allergies in Turkey (PARFAIT)","CROSS SECTIONAL","retrospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","AD","Eczema","","atopic","AD","ge15","15","normal","low/normal","Low","Low","Low","Low","","","","","OR","","","","","","OR","1.01","0.92","1.12","<0.05","","Low","OR","","","0.01","0.05","0.01","0.05","","0.01","0.01"
"Rothenbacher","2005","Rothenbacher  Ulm University","prospective cohort","prospective","Total duration of breastfeeding","TBF","<3","0","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.58","0.35","","","0.58","0.35","0.58","","0.58"
"Rothenbacher","2005","Rothenbacher  Ulm University","prospective cohort","prospective","Total duration of breastfeeding","TBF","<3",">=3","3","3to4","2","",">=3","AD","Ever AD","","atopic","AD","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.42","0.26","","","-0.42","0.26","-0.42","","-0.42"
"Sears","2002","Dunedin Multidisciplinary Health and Development Research Study","prospective cohort","prospective","duration of total BF","TBF","<1",">=1","1","1to2","2",">=1","Establishedbreast-feeding was defined as breast-feeding from birth and continu-ing for>=4 weeks. We also analyzed outcomes using 3 levels of breast-feeding duration (nil  not breast-fed or breast-fed for lessthan 4 weeks [reference]; short  breast-fed for between 4 weeks and 24 weeks; and long  breast-fed for longer than24 weeks","Allergic Sensitization","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","5to14","13","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.91","1.42","2.58","","","OR","1.94","1.42","2.65","","","Low","OR","0.65","0.15","0.66","0.16","0.66","0.16","0.65","0.66","0.66"
"Rona","2005","Rona  Chile","retrspective cohort","retrospective","Total duration of breastfeeding","TBF","> 1"," <=1","1","1to2","1",">=1",">=1","Allergic Sensitization","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","ge15","27","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.98","0.7","1.35","0.883","","Low","OR","","","-0.02","0.16","-0.02","0.16","","0.02","0.02"
"Snijders (maternal IgE<=100IUm/ml)","2007","KOALA","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">9","0","0","2","long",">=9","Allergic Sensitization","total IgE","","atopic","Total IgE ","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","2.73","1.5","4.98","","","OR","1.8","0.67","4.82","","","Low","OR","1","0.31","0.59","0.5","0.59","0.5","1","0.59","0.59"
"Snijders (maternal IgE>100IUm/ml)","2007","KOALA","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">9","0","0","2","long",">=9","Allergic Sensitization","total IgE","","atopic","Total IgE ","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","5.21","1.32","20.67","","","OR","4.66","0.94","23.18","","","Low","OR","1.65","0.7","1.54","0.82","1.54","0.82","1.65","1.54","1.54"
"Scholtens","2009","PIAMA","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">3.5","0","0","2","medium",">=4","Allergic Sensitization","IgE-aeroallergen","sIgE-AEROALLERGEN","atopic","AEROALLERGEN","5to14","8","normal","low/normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.8","0.57","1.14","","","Low","OR","","","-0.22","0.18","-0.22","0.18","","-0.22","-0.22"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","breastfed","TBF","NEVER","EVER","0","0","2",">0",">0","ALLERGIC SENSITISATION","SPT-aeroallergen","SPT-AEROALLERGEN","atopic","AEROALLERGEN","5to14","5.5","normal","low/normal","Low","Low","Low","Low","","","","","","","","","0.09","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","OR","1.1","0.63","2","","According to the findings from principal componentanalysis and the significance levels from the univariateanalyses  introduction of egg and vegetables as well as breastfeeding were incorporated in the multivariate models","Low","OR","0.41","0.23","0.1","0.31","0.1","0.31","0.41","0.1","0.1"
"Strachan (BCS58/70)","1997","National Child Development Study  (British Cohort Study BSC58 and BSC70)","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Allergic Sensitization","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","ge15","35","normal","low/normal","High","Other","Low","Low","","","","","OR","1.9","0.82","1.45","","","OR","1.09","0.82","1.45","0.4","","Low","OR","0.64","-0.14","0.09","0.15","0.09","0.15","0.64","0.09","0.09"
"Snijders","2008","KOALA","prospective cohort","prospective","total duration of BF","TBF","0",">9","0","0","2","long",">=9","Allergic Sensitization","IgE-AEROALLERGEN","sIgE-AEROALLERGEN","atopic","AEROALLERGEN","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.83","0.81","4.14","","","OR","1.6","0.36","7.17","","","Low","OR","0.6","0.42","0.47","0.77","0.47","0.77","0.6","0.47","0.47"
"Kuehr","1992","Kuehr  J.","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","<1","<8","1","1to2","2","",">=1","ALLERGIC SENSITISATION","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","5to14","8","normal","low/normal","High","Other","Low","Low","149.745","150.75","234.765","328.671","OR","","","","","","OR","","","","","NOT TESTED","Low","OR","0.23","0.22","","","0.23","0.22","0.23","","0.23"
"Kuyucu","2004","ISAAC Phase 2 - Ankara Turkey","CROSS SECTIONAL","retrospective","Total duration of breastfeeding","TBF","?6",">6","6","5to7","2",">=6",">=6","ALLERGIC SENSITISATION","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","5to14","11","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","0.62","0.47","0.83","<0.25","","OR","0.65","0.47","0.88","","in multivariate analyses lack of  or short(<6 months) duration of breastfeeding significantly increased the risk of pollensensitization.","Low","OR","-0.48","0.15","-0.43","0.15","-0.43","0.15","-0.48","-0.43","-0.43"
"Nwaru","2010","DIPP  (Type 1 Diabetes Prediction and Prevention Project)","prospective cohort","prospective","Total duration of breastfeeding","TBF","< 5",">9","5","5to7","2","long",">=9","Allergic Sensitization","IgE-aeoallergen","sIgE-AEROALLERGEN","atopic","AEROALLERGEN","5to14","5","normal","low/normal","Low","Low","Low","Low","","","","","OR","0.86","0.6","1.26","","","OR","0.69","0.43","1.11","","","Low","OR","-0.15","0.19","-0.37","0.24","-0.37","0.24","-0.15","-0.37","-0.37"
"Shaheen","1996","Guinea-Bissau West Africa","prospective cohort","prospective","Total duration of breastfeeding","TBF","<= 12","> 12","12","8to12","2",">=12",">=12","Allergic Sensitization","SPT-any","SPT-AEROALLERGEN","atopic","AEROALLERGEN","ge15","21","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.47","0.12","1.9","","","Low","OR","","","-0.76","0.71","-0.76","0.71","","-0.76","-0.76"
"Elliott","2008","ALSPAC","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Allergic Sensitization","SPT-ANY","SPT-ANY","atopic","ANY","5to14","7","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","1.14","0.97","1.34","","","OR","1.07","0.9","1.27","","","Low","OR","0.13","0.08","0.07","0.09","0.07","0.09","0.13","0.07","0.07"
"Mihrshahi","2007","Childhood ASTHMA Prevention Study (CAPS)","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Allergic Sensitization","SPT-any","SPT-ANY","atopic","ANY","5to14","5","high","high","Low","Low","Low","Low","","","","","OR","1.12","0.6","2.12","","","OR","0.89","0.45","1.76","","","Low","OR","0.11","0.33","-0.12","0.35","-0.12","0.35","0.11","-0.12","-0.12"
"Snijders","2008","KOALA","prospective cohort","prospective","total duration of BF","TBF","0",">9","0","0","2","long",">=9","Allergic Sensitization","IgE-ANY","sIgE-ANY","atopic","ANY","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.11","0.62","2","","","OR","1.89","0.7","5.12","","","Low","OR","0.1","0.3","0.64","0.51","0.64","0.51","0.1","0.64","0.64"
"Mihrshahi","2007","Childhood ASTHMA Prevention Study (CAPS)","prospective cohort","prospective","Total duration of breastfeeding","TBF","< 6",">= 6","6","5to7","2",">=6",">=6","Allergic Sensitization","SPT-any","SPT-ANY","atopic","ANY","5to14","5","high","high","Low","Low","Low","Low","","","","","OR","1.71","1.19","2.46","","","OR","1.56","1.07","2.27","","","Low","OR","0.54","0.19","0.44","0.19","0.44","0.19","0.54","0.44","0.44"
"Huurre","2008","Huurre","prospective cohort","prospective","Total duration of breastfeeding","TBF","<6",">=6","6","5to7","2",">=6",">=6","Allergic Sensitization","SPT-any","SPT-ANY","atopic","ANY","0to4","1","high","high","Low","Low","Low","Low","","","","","","","","","","","OR","4.83","1.52","15.38","0.005","","Low","OR","","","1.57","0.59","1.57","0.59","","1.57","1.57"
"Snijders","2008","KOALA","prospective cohort","prospective","total duration of BF","TBF","0",">9","0","0","2","long",">=9","Allergic Sensitization","IgE-Milk","sIgE-CM","atopic","CM","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","0.66","0.33","1.33","","","OR","1.19","0.38","3.67","","","Low","OR","-0.42","0.36","0.17","0.57","0.17","0.57","-0.42","0.17","0.17"
"Snijders","2008","KOALA","prospective cohort","prospective","total duration of BF","TBF","0",">9","0","0","2","long",">=9","Allergic Sensitization","IgE-EGG","sIgE-EGG","atopic","EGG","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","1.18","0.34","4.12","","","OR","1.89","0.28","12.68","","","Low","OR","0.17","0.64","0.64","0.97","0.64","0.97","0.17","0.64","0.64"
"Rowntree","1985","Rowntree","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">3","0","0","2","",">0","Allergic Sensitization","IgE-egg","sIgE-EGG","atopic","EGG","5to14","5","high","high","High","Other","Low","Low","","","","","","","","","","As reportedpreviously  the prevalence of allergic diseaseappeared to be greater in children who were breastfed for greater than 3 months (definite disease 65% no disease 13%) than in those who were bottle fed (definite disease 46%  no disease 31%). The differencecould not be explained by immune responses toinhalant allergens as no significant differences ineither development or concentrations of specificantibodies or results of skin tests were apparent(Table 3 and unpublished data).","","","","","","","Low","OR","-0.7","0.61","","","-0.7","0.61","-0.7","","-0.7"
"Hong","2011","Boston Birth Cohort","prospective cohort","prospective","Ever breastfed","TBF","never","ever","0","0","2",">0",">0","Allergic Sensitization","IgE- any food allergen","sIgE-FOOD","atopic","FOOD","0to4","3","normal","low/normal","Unclear","Other","Low","Low","","","","","OR","1.6","1.1","2.2","0.005","","OR","1.5","1.1","2.1","0.019","Because FS status defined at the age of 2 years or greater mightbe more stable and persistent  we then stratified the total sampleinto 2 groups according to the age when FS status was defined.Weobserved that the positive association between breast-feeding andFS was stronger in children aged 2 or more years (OR  2.3; 95%CI  1.3-4.1) than in those aged less than 2 years (OR  1.1; 95% CI 0.7-1.8). There was no age?breast-feeding interaction (P 5.13).Similar results were found for exclusive breast-feeding duration","Low","OR","0.47","0.16","0.41","0.17","0.41","0.17","0.47","0.41","0.41"
"Nwaru","2010","DIPP  (Type 1 Diabetes Prediction and Prevention Project)","prospective cohort","prospective","Total duration of breastfeeding","TBF","< 5",">9","5","5to7","2","long",">=9","Allergic Sensitization","IgE-foodallergen","sIgE-FOOD","atopic","FOOD","5to14","5","normal","low/normal","Low","Low","Low","Low","","","","","OR","0.96","0.62","1.47","","","OR","1.07","0.63","1.83","","","Low","OR","-0.04","0.22","0.07","0.27","0.07","0.27","-0.04","0.07","0.07"
"Snijders","2008","KOALA","prospective cohort","prospective","total duration of BF","TBF","0",">9","0","0","2","long",">=9","Allergic Sensitization","IgE-PEANUT","sIgE-PEANUT","atopic","PEANUT","0to4","2","normal","low/normal","Low","Low","Low","Low","","","","","OR","0.52","0.14","1.97","","","OR","1.15","0.15","9.03","","","Low","OR","-0.65","0.68","0.14","1.05","0.14","1.05","-0.65","0.14","0.14"
"Taylor (BCS70)","1984","British Cohort Study (BCS70)","prospective cohort","prospective","Total duration of breastfeeding","TBF","0",">1","0","0","2",">0",">0","AD","Ever AD","","atopic","AD","5to14","5","normal","low/normal","Unclear","Other","Low","Low","","","","","","","","","","","","","","","","","","OR","0.31","0.05","","","0.31","0.05","0.31","","0.31"
"Mandhane","2007","Dunedin Multidisciplinary Health and Development Research Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<1",">=1","1","1to2","2",">=1","","Asthma(ICS/excercise).12mo","","","atopic","BHR","5to14","9","normal","low/normal","High","Other","","","","","","","","OR","","","","0.07","Irrespectiveof sex and parental history of atopy  asthma (wheeze withAHR) at age 9 years and atopy at age 13 years (see odds ration in id 3338) were moreprevalent among breast-fed study members (asthma 13.7% vs 5.3%  P < .001; atopy  52.7% vs 36.8%  P <.001). The influence of breast-feeding on asthma andatopy was greatest among those infants breast-fed forbetween 4 weeks and 24 weeks  although those breast-fedfor longer than 24 weeks were still at an increased risk ofdeveloping asthma and atopy compared with infants notbreast-fed or breast-fed for less than 4 weeks (asthma atage 9 years: boys  short duration of breast-feeding  OR 3.76  95% CI  1.10-12.21; long duration of breast-feeding OR  3.14  95% CI  0.74-13.38; girls  short duration ofbreast-feeding  OR  4.59  95% CI  1.80-11.68; longduration of breast-feeding  OR  3.57  95% CI  1.14-11.16).","OR","","","","","","OR","1.13","0.26","","","1.13","0.26","1.13","","1.13"
"Oddy","1999","Western Australia Pregnancy Cohort  Oddy","prospective cohort","prospective","duration of exclusive breastfeeding","eBF","> =3 ","< 3 ","3","3to4","1",">=3","","Asthma-Wheeze","asthma diagnosed by a doctor","","atopic","wheeze.rec","5to14","6","normal/low","normal","Low","Low","Unclear","Unclear-High","","","","","","","","","","","OR","1.2","0.98","1.48","0.084","","Unclear","OR","","","0.18","0.11","0.18","0.11","","-0.18","-0.18"
"Oddy","1999","Western Australia Pregnancy Cohort  Oddy","prospective cohort","prospective","duration of exclusive breastfeeding","eBF","> = 5 ","< 5 ","5","ge5","1",">=5","","Asthma-Wheeze","asthma diagnosed by a doctor","","atopic","wheeze.rec","5to14","6","normal/low","normal","Low","Low","Unclear","Unclear-High","","","","","","","","","","","OR","1.21","0.99","1.47","0.063","","Unclear","OR","","","0.19","0.1","0.19","0.1","","-0.19","-0.19"
"Besednjak-Kocijancic","2010","Besednjak-Kocijancic","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","4","6","4","3to4","2","6","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","0to4","1","high","high","High","Other","Unclear","Unclear-High","","","","","","","","",">0.01"," in two groups: group A-286 children exclusively breastfed for 6 and group B 122 children exclusive breastfed for 4 months. The prevalence of asthma  AD and of cow's milk  hen's egg  wheat allergy at the age of 1 and 5 years was observed. Statistical analysis was performed with SPSS 11.0 using chi-square analysis with Yates' correction. P-values <0.01 were considered significant. Results: At 1 year of age in the group A had asthma 7.3% and AD 13.6% of children. A 0.3% of them was allergic to cow's milk  7.3% to hen's egg and 9.4% to wheat. Significantly higher percentage of children with AD (30.3%) and allergy to wheat (20.5%)  (P < 0.01) was found in group B. Also prevalence of asthma (10.6%)  allergy to cow's milk (6.3%) and to hen's egg (13.1%) tended to be higher in this group (P > 0.01). ","","","","","","","Unclear","OR","-0.41","0.37","","","-0.41","0.37","-0.41","","-0.41"
"Nielsen","2002","Nielsen","prospective cohort","prospective","exclusive or partial breastfeeding for at least 4 months","eBF","less than months","4 months of either exclusive or partial breastfeeding","4","3to4","2","4","","Asthma-Wheeze","wheeze","","atopic","wheeze.rec","0to4","0.5","normal/low","normal","High","Other","Unclear","Unclear-High","","","","","OR","0.72","0.62","0.83","<0.001","","Not available","","","","","","Unclear","OR","-0.33","0.07","","","-0.33","0.07","-0.33","","-0.33"
"Majeed","2008","Majeed  R.","CASE CONTROL","retrospective","Exclusive BF","eBF","<4","4+","4","3to4","2",">=4","","Asthma-Wheeze","Recurrent wheeze","","atopic","wheeze.rec","0to4","3","normal/low","normal","High","Other","Unclear","Unclear-High","70","130","45","153","","","","","","","","","","","","","Unclear","OR","0.6","0.23","","","0.6","0.23","0.6","","0.6"
"Besednjak-Kocijancic","2010","Besednjak-Kocijancic","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","4","6","4","3to4","2","6","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","5to14","5","high","high","High","Other","Unclear","Unclear-High","","","","","","","","","<0.01","At the age of 5 years the difference between two groups in prevalence of asthma (A: 5.6%  B: 14.6%) and AD (A: 7.4%  B: 18.9%)  (P < 0.01) was significant  but the increase of the prevalence of both diseases from 1 to 5 years of age in each group wasn't significant (P > 0.05). Also the prevalence of allergy to observed allergens wasn't significantly higher (P > 0.01). ","","","","","","","Unclear","OR","-1.06","0.36","","","-1.06","0.36","-1.06","","-1.06"
"Liu","2012","Liu 2012","cross-sectional","retrospective","duration","eBF","","yes/no","3","3to4","2",">=3","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","5to14","8","normal/low","normal","High","Other","Unclear","Unclear-High","NA","NA","NA","NA","OR","0.78","0.64","0.96","","","","","","","","","Unclear","OR","-0.25","0.11","","","-0.25","0.11","-0.25","","-0.25"
