"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"West","2012","WEST  CE","prospective cohort","prospective","zinc","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","1.64","0.85","3.18","","","OR","1.73","0.8","3.73","","OR","0.494696242","0.337849467","0.548121409","0.391983074","0.548121409","0.391983074","1.64","0.845786164","3.18","1.73","0.802386059","3.73","1.73","0.802386059","3.73","OR","0.494696242","0.337849467","0.548121409","0.391983074","0.548121409","0.391983074","1.64","0.845786164","3.18","1.73","0.802386059","3.73","1.73","0.802386059","3.73"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of zinc","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","1.3","0.78","2.18","","","OR","1.43","0.82","2.52","","OR","0.262364264","0.263755414","0.357674444","0.289073703","0.357674444","0.289073703","1.3","0.775229358","2.18","1.43","0.811468254","2.52","1.43","0.811468254","2.52","OR","0.262364264","0.263755414","0.357674444","0.289073703","0.357674444","0.289073703","1.3","0.775229358","2.18","1.43","0.811468254","2.52","1.43","0.811468254","2.52"
"Devereux","2006","ABERDEEN COHORT","prospectvie cohort","prospective","Zinc intake during pregnancy","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","lowest (Q1)","Highest (Q5)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","5","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.73","0.5","1.08","","","OR","0.63","0.4","0.95","","OR","-0.314710745","0.199832544","-0.46203546","0.209562329","-0.46203546","0.209562329","0.73","0.493425926","1.08","0.63","0.417789474","0.95","0.63","0.417789474","0.95","OR","-0.314710745","0.199832544","-0.46203546","0.209562329","-0.46203546","0.209562329","0.73","0.493425926","1.08","0.63","0.417789474","0.95","0.63","0.417789474","0.95"
"Allen","2013","HealthNUTS","NESTED CASE CONTROL","prospective","SPECIFIC NUTRIENT EXPOSURES - MOTHER OR CHILD","VIT D plasma","INFANT  VITAMIN D level","INFANT  VITAMIN D level","infant-1st year-blood","25(OH)D3 >50  nmol/L","25(OH)D3 <=50  nmol/L","HighestVSLowest","tertile-quartile-quintile","1=yes","atopic","AD","","1","0to4","low/normal","Low","Low","Low","Low","174","NR (check online supplement)","","NR (check online supplement)","","","","","","OR","0.98","0.58","1.64","","","OR","1.34","0.37","4.79","","OR","-0.020202707","0.262703545","0.292669614","0.649928978","0.292669614","0.649928978","0.98","0.585609756","1.64","1.34","0.374864301","4.79","1.34","0.374864301","4.79","OR","0.020202707","0.262703545","-0.292669614","0.649928978","-0.292669614","0.649928978","1.020408163","0.609756098","1.707621824","0.746268657","0.208768267","2.667631989","0.746268657","0.208768267","2.667631989"
"Jones","2012","Jones  PA.","Retrospective cohort","retrospective","CB 25(OH)D3 ","VIT D cord blood","INFANT  VITAMIN D level","INFANT  VITAMIN D level","infant-1st year-blood",">=75 nmol/L","<50 nmol/L","HighestVSLowest","tertile-quartile-quintile","1=yes","atopic","AD","","1","0to4","high","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","2.66","1.24","5.72","0.012","","","","","","","OR","0.978326123","0.390634022","","","0.978326123","0.390634022","2.66","1.236993007","5.72","","","","2.66","1.236993007","5.72","OR","-0.978326123","0.390634022","","","-0.978326123","0.390634022","0.37593985","0.174825175","0.808412007","","","","0.37593985","0.174825175","0.808412007"
"Weisse","2012","LINA cohort study","Prospective cohort","prospective","CB 25(OH)D3","VIT D cord blood","INFANT  VITAMIN D level","INFANT  VITAMIN D level","infant-1st year-blood","","unclear if cont or quartiles","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","High","Unclear/high","Low","Low","","","","","","","","","","OR","1.09","0.8","1.48","0.606","","OR","1.2","0.81","1.76","0.365","OR","0.086177696","0.156053261","0.182321557","0.19540421","0.182321557","0.19540421","1.09","0.80277027","1.48","1.2","0.818181818","1.76","1.2","0.818181818","1.76","OR","0.086177696","0.156053261","0.182321557","0.19540421","0.182321557","0.19540421","1.09","0.80277027","1.48","1.2","0.818181818","1.76","1.2","0.818181818","1.76"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of Vitamin E","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.6","0.36","0.999","","","OR","0.59","0.34","1.02","","OR","-0.510825624","0.260114859","-0.527632742","0.27930376","-0.527632742","0.27930376","0.6","0.36036036","0.999","0.59","0.34127451","1.02","0.59","0.34127451","1.02","OR","-0.510825624","0.260114859","-0.527632742","0.27930376","-0.527632742","0.27930376","0.6","0.36036036","0.999","0.59","0.34127451","1.02","0.59","0.34127451","1.02"
"West","2012","WEST  CE","prospective cohort","prospective","Vitamin E","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","1.18","0.61","2.28","","","OR","1.42","0.68","2.98","","OR","0.165514438","0.336051533","0.350656872","0.378197158","0.350656872","0.378197158","1.18","0.610701754","2.28","1.42","0.676644295","2.98","1.42","0.676644295","2.98","OR","0.165514438","0.336051533","0.350656872","0.378197158","0.350656872","0.378197158","1.18","0.610701754","2.28","1.42","0.676644295","2.98","1.42","0.676644295","2.98"
"Martindale","2005","ABERDEEN COHORT","prospective cohort","prospective","Vitamin E-dietary","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.76","0.52","1.13","","","OR","0.72","0.47","1.09","","OR","-0.274436846","0.202374734","-0.328504067","0.211572328","-0.328504067","0.211572328","0.76","0.511150442","1.13","0.72","0.47559633","1.09","0.72","0.47559633","1.09","OR","-0.274436846","0.202374734","-0.328504067","0.211572328","-0.328504067","0.211572328","0.76","0.511150442","1.13","0.72","0.47559633","1.09","0.72","0.47559633","1.09"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of b-carotene","B-CAROTENE","VITAMIN A","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.63","0.38","1.04","","","OR","0.52","0.3","0.89","","OR","-0.46203546","0.255742945","-0.653926467","0.274179924","-0.653926467","0.274179924","0.63","0.381634615","1.04","0.52","0.303820225","0.89","0.52","0.303820225","0.89","OR","-0.46203546","0.255742945","-0.653926467","0.274179924","-0.653926467","0.274179924","0.63","0.381634615","1.04","0.52","0.303820225","0.89","0.52","0.303820225","0.89"
"West","2012","WEST  CE","prospective cohort","prospective","b-carotene intake","B-CAROTENE","VITAMIN A","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","0.85","0.44","1.66","","","OR","0.67","0.31","1.43","","OR","-0.162518929","0.341498231","-0.400477567","0.38681225","-0.400477567","0.38681225","0.85","0.435240964","1.66","0.67","0.313916084","1.43","0.67","0.313916084","1.43","OR","-0.162518929","0.341498231","-0.400477567","0.38681225","-0.400477567","0.38681225","0.85","0.435240964","1.66","0.67","0.313916084","1.43","0.67","0.313916084","1.43"
"Martindale","2005","ABERDEEN COHORT","prospective cohort","prospective","Vitamin C-total","VIT C","VITAMIN C","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","1.52","1.02","2.27","0.044","","OR","1.56","0.99","2.45","0.048","OR","0.418710335","0.204627294","0.444685821","0.230307247","0.444685821","0.230307247","1.52","1.017797357","2.27","1.56","0.993306122","2.45","1.56","0.993306122","2.45","OR","0.418710335","0.204627294","0.444685821","0.230307247","0.444685821","0.230307247","1.52","1.017797357","2.27","1.56","0.993306122","2.45","1.56","0.993306122","2.45"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of Vitamin C","VIT C","VITAMIN C","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.62","0.36","1.05","","","OR","0.67","0.37","1.18","","OR","-0.478035801","0.268788758","-0.400477567","0.288771431","-0.400477567","0.288771431","0.62","0.366095238","1.05","0.67","0.380423729","1.18","0.67","0.380423729","1.18","OR","-0.478035801","0.268788758","-0.400477567","0.288771431","-0.400477567","0.288771431","0.62","0.366095238","1.05","0.67","0.380423729","1.18","0.67","0.380423729","1.18"
"West","2012","WEST  CE","prospective cohort","prospective","VitaminC intake","VIT C","VITAMIN C","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","0.69","0.35","1.35","","","OR","0.72","0.33","1.57","","OR","-0.371063681","0.342432793","-0.328504067","0.397744738","-0.328504067","0.397744738","0.69","0.352666667","1.35","0.72","0.330191083","1.57","0.72","0.330191083","1.57","OR","-0.371063681","0.342432793","-0.328504067","0.397744738","-0.328504067","0.397744738","0.69","0.352666667","1.35","0.72","0.330191083","1.57","0.72","0.330191083","1.57"
"Miyake","2010","OMCHS","prospective cohort","prospective"," calcium intake pregenancy","CALCIUM","CALCIUM","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.99","0.61","1.63","","","OR","1.08","0.63","1.86","","OR","-0.010050336","0.25440324","0.076961041","0.27735482","0.076961041","0.27735482","0.99","0.601288344","1.63","1.08","0.627096774","1.86","1.08","0.627096774","1.86","OR","-0.010050336","0.25440324","0.076961041","0.27735482","0.076961041","0.27735482","0.99","0.601288344","1.63","1.08","0.627096774","1.86","1.08","0.627096774","1.86"
"Narita","2011","T-CHILD","prospective cohort","prospective","CALCIUM","CALCIUM","CALCIUM","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","0.6","0to4","low/normal","Unclear","Unclear/high","Unclear","Unclear-High","","","","","","","","","","OR","0.632","0.429","0.932","","Maternal intake volume of calcium was positively associated with eczema up to 6-8 months (Odds ratio (OR) between extreme quartiles was 0.632  95%confidence interval (CI) 0.429- 0.932)  but not with wheeze. ","","","","","","OR","-0.458865885","0.198185419","","","-0.458865885","0.198185419","0.632","0.428566524","0.932","","","","0.632","0.428566524","0.932","OR","-0.458865885","0.198185419","","","-0.458865885","0.198185419","0.632","0.428566524","0.932","","","","0.632","0.428566524","0.932"
"Devereux","2006","ABERDEEN COHORT","prospectvie cohort","prospective","Zinc","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","lowest (Q1)","Highest (Q5)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.61","0.36","1.04","","","OR","0.51","0.27","0.97","","OR","-0.494296322","0.272202569","-0.673344553","0.328002727","-0.673344553","0.328002727","0.61","0.357788462","1.04","0.51","0.26814433","0.97","0.51","0.26814433","0.97","OR","-0.494296322","0.272202569","-0.673344553","0.328002727","-0.673344553","0.328002727","0.61","0.357788462","1.04","0.51","0.26814433","0.97","0.51","0.26814433","0.97"
"Litonjua","2006","PROJECT VIVA ","prospectvie cohort","prospective","Zinc","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","lowest","Highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","0.41","0.24","0.69","0.004","","OR","0.49","0.27","0.87","0.06","OR","-0.891598119","0.265578795","-0.713349888","0.292901949","-0.713349888","0.292901949","0.41","0.243623188","0.69","0.49","0.275977011","0.87","0.49","0.275977011","0.87","OR","-0.891598119","0.265578795","-0.713349888","0.292901949","-0.713349888","0.292901949","0.41","0.243623188","0.69","0.49","0.275977011","0.87","0.49","0.275977011","0.87"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of zinc","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.74","0.46","1.19","","","OR","0.69","0.41","1.17","","OR","-0.301105093","0.242376735","-0.371063681","0.269422158","-0.371063681","0.269422158","0.74","0.460168067","1.19","0.69","0.406923077","1.17","0.69","0.406923077","1.17","OR","-0.301105093","0.242376735","-0.371063681","0.269422158","-0.371063681","0.269422158","0.74","0.460168067","1.19","0.69","0.406923077","1.17","0.69","0.406923077","1.17"
"Litonjua","2006","PROJECT VIVA ","prospectvie cohort","prospective","Zinc","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","lowest","Highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","0.49","0.34","0.7","<0.0001","","OR","0.59","0.41","0.88","0.01","OR","-0.713349888","0.181977012","-0.527632742","0.203979271","-0.527632742","0.203979271","0.49","0.343","0.7","0.59","0.395568182","0.88","0.59","0.395568182","0.88","OR","-0.713349888","0.181977012","-0.527632742","0.203979271","-0.527632742","0.203979271","0.49","0.343","0.7","0.59","0.395568182","0.88","0.59","0.395568182","0.88"
"West","2012","WEST  CE","prospective cohort","prospective","zinc","ZINC","ZINC","MATERNAL MINERAL INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","0.53","0.25","1.12","","","OR","0.47","0.2","1.08","","OR","-0.634878272","0.381738244","-0.755022584","0.424481442","-0.755022584","0.424481442","0.53","0.250803571","1.12","0.47","0.204537037","1.08","0.47","0.204537037","1.08","OR","-0.634878272","0.381738244","-0.755022584","0.424481442","-0.755022584","0.424481442","0.53","0.250803571","1.12","0.47","0.204537037","1.08","0.47","0.204537037","1.08"
"Miyake","2010","OMCHS","Prospective cohort","prospective","Maternal vitamin D intake (preg.)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Quartile 1 (3.5)","Quartile 4 (9.1)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","42","","53","OR","0.73","0.46","1.16","","P for trend = 0.44","OR","0.69","0.42","1.14","","OR","-0.314710745","0.236291199","-0.371063681","0.256169359","-0.371063681","0.256169359","0.73","0.459396552","1.16","0.69","0.417631579","1.14","0.69","0.417631579","1.14","OR","-0.314710745","0.236291199","-0.371063681","0.256169359","-0.371063681","0.256169359","0.73","0.459396552","1.16","0.69","0.417631579","1.14","0.69","0.417631579","1.14"
"Devereux","2007","ABERDEEN COHORT","Prospective cohort","prospective","Maternal vitamin D intake (preg.)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Quintile 1 (77  46-92 IU/d)","Quintile 5 (275  189-751 IU/d)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low/normal","High","Unclear/high","Low","Low","","","","","","","","","","OR","0.53","0.34","0.85","","Wald P test = 0.004","OR","0.56","0.31","1.01","","OR","-0.634878272","0.240999665","-0.579818495","0.300902462","-0.579818495","0.300902462","0.53","0.330470588","0.85","0.56","0.31049505","1.01","0.56","0.31049505","1.01","OR","-0.634878272","0.240999665","-0.579818495","0.300902462","-0.579818495","0.300902462","0.53","0.330470588","0.85","0.56","0.31049505","1.01","0.56","0.31049505","1.01"
"Pike","2012","Southampton Women's Survey","Prospective cohort","prospective","Maternal vitamin D intake (preg.)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Quartile 1","Quartile 4","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","6","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","RR","1.03","0.86","1.23","","P for trend = 0.87","","","","","","RR","0.029558802","0.090538453","","","0.029558802","0.090538453","1.03","0.862520325","1.23","","","","1.03","0.862520325","1.23","RR","0.029558802","0.090538453","","","0.029558802","0.090538453","1.03","0.862520325","1.23","","","","1.03","0.862520325","1.23"
"Carmargo","2007","PROJECT VIVA ","Prospective cohort","prospective","Maternal vitamin D intake (preg.)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Quartile 1 (356  60-445 IU)","Quartile 4 (724  659-1145)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","3","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.39","0.25","0.62","","P for trend = <0.001","OR","0.41","0.24","0.7","","OR","-0.94160854","0.236516704","-0.891598119","0.272919987","-0.891598119","0.272919987","0.39","0.245322581","0.62","0.41","0.240142857","0.7","0.41","0.240142857","0.7","OR","-0.94160854","0.236516704","-0.891598119","0.272919987","-0.891598119","0.272919987","0.39","0.245322581","0.62","0.41","0.240142857","0.7","0.41","0.240142857","0.7"
"Devereux","2007","ABERDEEN COHORT","Prospective cohort","prospective","Maternal vitamin D intake (preg.)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Quintile 1 (77  46-92 IU/d)","Quintile 5 (275  189-751 IU/d)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low/normal","High","Unclear/high","Low","Low","","","","","","","","","","OR","0.39","0.18","0.84","","Wald P test = 0.01","OR","0.43","0.16","1.12","","OR","-0.94160854","0.391456711","-0.84397007","0.488417732","-0.84397007","0.488417732","0.39","0.181071429","0.84","0.43","0.165089286","1.12","0.43","0.165089286","1.12","OR","-0.94160854","0.391456711","-0.84397007","0.488417732","-0.84397007","0.488417732","0.39","0.181071429","0.84","0.43","0.165089286","1.12","0.43","0.165089286","1.12"
"Maslova","2013","DANISH BIRTH COHORT ","Prospective cohort","prospective","Maternal vitamin D intake (preg.)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Quintile 1 (5.5  1.8-7.1)","Quintile 5 (16.5  14.2-27.4)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","7","5to14","low/normal","Low","Low","Low","Low","","","","","","5611","207","5728","219","RR","0.96","0.8","1.16","","","RR","0.91","0.75","1.11","","RR","-0.040821995","0.096552041","-0.094310679","0.101362599","-0.094310679","0.101362599","0.96","0.794482759","1.16","0.91","0.746036036","1.11","0.91","0.746036036","1.11","RR","-0.040821995","0.096552041","-0.094310679","0.101362599","-0.094310679","0.101362599","0.96","0.794482759","1.16","0.91","0.746036036","1.11","0.91","0.746036036","1.11"
"Erkkola","2009","DIPP ","prospective cohort","prospective","Maternal vitamin D intake (preg. FOOD)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","2nd & 3rd Quartiles (0.31-0.54 microg/MJ)","4th Quartile (>0.54 microg/MJ)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","HR","0.81","0.45","1.47","","HR","","","-0.210721031","0.30407318","-0.210721031","0.30407318","","","","0.81","0.446326531","1.47","0.81","0.446326531","1.47","HR","","","-0.210721031","0.30407318","-0.210721031","0.30407318","","","","0.81","0.446326531","1.47","0.81","0.446326531","1.47"
"Pike","2012","Southampton Women's Survey","Prospective cohort","prospective","Maternal vitamin D intake (preg.)","VIT D","VITAMIN D","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Quartile 1","Quartile 4","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","6","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","RR","1.23","0.65","2.33","","P for trend = 0.74","","","","","","RR","0.207014169","0.325945968","","","0.207014169","0.325945968","1.23","0.649313305","2.33","","","","1.23","0.649313305","2.33","RR","0.207014169","0.325945968","","","0.207014169","0.325945968","1.23","0.649313305","2.33","","","","1.23","0.649313305","2.33"
"Miyake","2011","OMCHS","prospectvie cohort","prospective","Maternal folate intake during pregnancy","FOLATE","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-intake","Lowest Q1 [median 206.8 micrograms per day]","Highest Q4 [median 370.6 micrograms per day]","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","40","","","OR","0.88","0.54","1.43","","","OR","1.28","0.65","2.5","","OR","-0.127833372","0.247708069","0.246860078","0.341546252","0.246860078","0.341546252","0.88","0.541538462","1.43","1.28","0.65536","2.5","1.28","0.65536","2.5","OR","-0.127833372","0.247708069","0.246860078","0.341546252","0.246860078","0.341546252","0.88","0.541538462","1.43","1.28","0.65536","2.5","1.28","0.65536","2.5"
"Litonjua","2006","PROJECT VIVA ","prospectvie cohort","prospective","Folic acid [supplemental or dietary - mostly supplemental]","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","lowest","Highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","0.64","0.45","0.91","0.002","","OR","0.89","0.6","1.31","0.2","OR","-0.446287103","0.179579808","-0.116533816","0.197224976","-0.116533816","0.197224976","0.64","0.45010989","0.91","0.89","0.604656489","1.31","0.89","0.604656489","1.31","OR","-0.446287103","0.179579808","-0.116533816","0.197224976","-0.116533816","0.197224976","0.64","0.45010989","0.91","0.89","0.604656489","1.31","0.89","0.604656489","1.31"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of b-carotene","B-CAROTENE","VITAMIN A","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","1.19","0.74","1.93","","","OR","1.06","0.63","1.77","","OR","0.173953307","0.246717702","0.058268908","0.26158706","0.058268908","0.26158706","1.19","0.73373057","1.93","1.06","0.63480226","1.77","1.06","0.63480226","1.77","OR","0.173953307","0.246717702","0.058268908","0.26158706","0.058268908","0.26158706","1.19","0.73373057","1.93","1.06","0.63480226","1.77","1.06","0.63480226","1.77"
"Litonjua","2006","PROJECT VIVA ","prospectvie cohort","prospective","b-carotene","B-CAROTENE","VITAMIN A","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","Highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","0.71","0.5","1.02","0.04","","OR","0.98","0.66","1.47","0.9","OR","-0.342490309","0.184843335","-0.020202707","0.206869953","-0.020202707","0.206869953","0.71","0.494215686","1.02","0.98","0.653333333","1.47","0.98","0.653333333","1.47","OR","-0.342490309","0.184843335","-0.020202707","0.206869953","-0.020202707","0.206869953","0.71","0.494215686","1.02","0.98","0.653333333","1.47","0.98","0.653333333","1.47"
"West","2012","WEST  CE","prospective cohort","prospective","b-carotene intake","B-CAROTENE","VITAMIN A","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","0.77","0.38","1.57","","","OR","0.73","0.33","1.61","","OR","-0.261364764","0.363489992","-0.314710745","0.403543328","-0.314710745","0.403543328","0.77","0.377643312","1.57","0.73","0.330993789","1.61","0.73","0.330993789","1.61","OR","-0.261364764","0.363489992","-0.314710745","0.403543328","-0.314710745","0.403543328","0.77","0.377643312","1.57","0.73","0.330993789","1.61","0.73","0.330993789","1.61"
